grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.71_-73.99,40.71,-73.99,14,0,14,0,0,0,1
40.71_-73.99,40.71,-73.99,14,1,5,0,0,0,1
40.71_-73.99,40.71,-73.99,14,2,4,0,0,0,1
40.71_-73.99,40.71,-73.99,14,3,1,0,0,0,1
40.71_-73.99,40.71,-73.99,14,4,5,0,0,0,1
40.71_-73.99,40.71,-73.99,14,5,5,0,1,0,1
40.71_-73.99,40.71,-73.99,14,6,7,0,1,0,1
40.71_-73.99,40.71,-73.99,15,0,3,0,0,0,1
40.71_-73.99,40.71,-73.99,15,1,5,0,0,0,1
40.71_-73.99,40.71,-73.99,15,2,12,0,0,0,1
40.71_-73.99,40.71,-73.99,15,3,7,0,0,0,1
40.71_-73.99,40.71,-73.99,15,4,3,0,0,0,1
40.71_-73.99,40.71,-73.99,15,5,3,0,1,0,1
40.71_-73.99,40.71,-73.99,15,6,11,0,1,0,1
40.71_-73.99,40.71,-73.99,16,0,7,0,0,1,1
40.71_-73.99,40.71,-73.99,16,1,1,0,0,1,1
40.71_-73.99,40.71,-73.99,16,2,7,0,0,1,1
40.71_-73.99,40.71,-73.99,16,3,7,0,0,1,1
40.71_-73.99,40.71,-73.99,16,4,4,0,0,1,1
40.71_-73.99,40.71,-73.99,16,5,4,0,1,1,1
40.71_-73.99,40.71,-73.99,16,6,13,0,1,1,1
40.71_-73.99,40.71,-73.99,17,0,5,0,0,1,1
40.71_-73.99,40.71,-73.99,17,1,6,0,0,1,1
40.71_-73.99,40.71,-73.99,17,2,3,0,0,1,1
40.71_-73.99,40.71,-73.99,17,3,3,0,0,1,1
40.71_-73.99,40.71,-73.99,17,4,4,0,0,1,1
40.71_-73.99,40.71,-73.99,17,5,3,0,1,1,1
40.71_-73.99,40.71,-73.99,17,6,4,0,1,1,1
40.71_-73.99,40.71,-73.99,18,0,6,0,0,1,1
40.71_-73.99,40.71,-73.99,18,1,5,0,0,1,1
40.71_-73.99,40.71,-73.99,18,2,6,0,0,1,1
40.71_-73.99,40.71,-73.99,18,3,9,0,0,1,1
40.71_-73.99,40.71,-73.99,18,4,1,0,0,1,1
40.71_-73.99,40.71,-73.99,18,5,1,0,1,1,1
40.71_-73.99,40.71,-73.99,18,6,4,0,1,1,1
40.71_-73.99,40.71,-73.99,19,0,4,0,0,0,1
40.71_-73.99,40.71,-73.99,19,1,3,0,0,0,1
40.71_-73.99,40.71,-73.99,19,2,1,0,0,0,1
40.71_-73.99,40.71,-73.99,19,3,5,0,0,0,1
40.71_-73.99,40.71,-73.99,19,4,3,0,0,0,1
40.71_-73.99,40.71,-73.99,19,5,2,0,1,0,1
40.71_-73.99,40.71,-73.99,19,6,4,0,1,0,1
40.71_-73.99,40.71,-73.99,20,0,5,0,0,0,1
40.71_-73.99,40.71,-73.99,20,1,8,0,0,0,1
40.71_-73.99,40.71,-73.99,20,2,2,0,0,0,1
40.71_-73.99,40.71,-73.99,20,3,2,0,0,0,1
40.71_-73.99,40.71,-73.99,20,4,2,0,0,0,1
40.71_-73.99,40.71,-73.99,20,5,3,0,1,0,1
40.71_-73.99,40.71,-73.99,20,6,1,0,1,0,1
40.71_-73.99,40.71,-73.99,21,0,2,0,0,0,1
40.71_-73.99,40.71,-73.99,21,1,5,0,0,0,1
40.71_-73.99,40.71,-73.99,21,2,4,0,0,0,1
40.71_-73.99,40.71,-73.99,21,3,5,0,0,0,1
40.71_-73.99,40.71,-73.99,21,4,1,0,0,0,1
40.71_-73.99,40.71,-73.99,21,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,21,6,1,0,1,0,1
40.71_-73.99,40.71,-73.99,22,1,2,0,0,0,1
40.71_-73.99,40.71,-73.99,22,2,2,0,0,0,1
40.71_-73.99,40.71,-73.99,22,3,3,0,0,0,1
40.71_-73.99,40.71,-73.99,22,4,2,0,0,0,1
40.71_-73.99,40.71,-73.99,22,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,22,6,3,0,1,0,1
40.71_-73.99,40.71,-73.99,23,2,1,0,0,0,1
40.71_-73.99,40.71,-73.99,23,3,4,0,0,0,1
40.71_-73.99,40.71,-73.99,23,4,4,0,0,0,1
40.71_-73.99,40.71,-73.99,23,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,23,6,1,0,1,0,1
40.71_-74.0,40.71,-74.0,0,0,3,0,0,0,1
40.71_-74.0,40.71,-74.0,0,1,2,0,0,0,1
40.71_-74.0,40.71,-74.0,0,3,1,0,0,0,1
40.71_-74.0,40.71,-74.0,0,6,2,0,1,0,1
40.71_-74.0,40.71,-74.0,1,3,2,0,0,0,1
40.71_-74.0,40.71,-74.0,1,6,1,0,1,0,1
40.71_-74.0,40.71,-74.0,3,5,1,0,1,0,1
40.71_-74.0,40.71,-74.0,4,2,1,0,0,0,1
40.71_-74.0,40.71,-74.0,4,4,2,0,0,0,1
