"created_date","complaint_type","descriptor","borough","latitude","longitude","street_name"
"2025-10-11T00:15:52.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.72126921384192","-73.97961343549994","EAST    3 STREET"
"2025-10-11T00:15:07.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:14:45.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.81220165998031","-73.94997726744772","WEST  128 STREET"
"2025-10-11T00:14:16.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.862325879428376","-73.9295531389914","BROADWAY"
"2025-10-11T00:14:07.000","Illegal Parking","Blocked Bike Lane","MANHATTAN","40.83524714791628","-73.94577517850493","WEST  158 STREET"
"2025-10-11T00:13:56.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803129868378484","-73.94888602470876","LENOX AVENUE"
"2025-10-11T00:13:22.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:12:53.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86509884715331","-73.93091320977899","MARGARET CORBIN DRIVE"
"2025-10-11T00:11:21.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.86462736420933","-73.92318763020528","SHERMAN AVENUE"
"2025-10-11T00:11:20.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.76255992237142","-73.99061441743443","WEST   48 STREET"
"2025-10-11T00:11:18.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.72723182062059","-73.98632956929056","EAST    7 STREET"
"2025-10-11T00:11:03.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:10:12.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.792140506423976","-73.9500970728466","EAST  104 STREET"
"2025-10-11T00:09:22.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.7214320829943","-73.98579322477056","NORFOLK STREET"
"2025-10-11T00:09:15.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:08:17.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.864671199859906","-73.9230682719138","SHERMAN AVENUE"
"2025-10-11T00:07:31.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:07:06.000","Noise - Residential","Loud Talking","MANHATTAN","40.71536188445696","-73.97643722572816","FRANKLIN D ROOSEVELT DRIVE"
"2025-10-11T00:05:54.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:05:32.000","Illegal Parking","Blocked Hydrant","MANHATTAN","40.70947330805781","-74.01295260975331","GREENWICH STREET"
"2025-10-11T00:05:07.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.763121538030525","-73.98179181619352","7 AVENUE"
"2025-10-11T00:05:06.000","Homeless Person Assistance","Chronic","MANHATTAN","40.7320139962256","-73.99991340356783","WASHINGTON PLACE"
"2025-10-11T00:04:28.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.864671199859906","-73.9230682719138","SHERMAN AVENUE"
"2025-10-11T00:04:28.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:04:02.000","Bike/Roller/Skate Chronic","N/A","MANHATTAN","40.81769779601851","-73.96010712649394","WEST  125 STREET"
"2025-10-11T00:03:15.000","Food Establishment","Food Worker Hygiene","MANHATTAN","40.786888810922264","-73.94204451293729","1 AVENUE"
"2025-10-11T00:02:51.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:02:29.000","Noise - Vehicle","Engine Idling","MANHATTAN","40.79815239978816","-73.96823448636394","WEST  102 STREET"
"2025-10-11T00:00:05.000","Drinking","In Public","MANHATTAN","40.80129161811248","-73.96562155560764","WEST  107 STREET"
